#;Cajero;Apertura;Cierre;Estado;Efectivo Inicial;Efectivo Esperado;Efectivo Final;Diferencia;Total Ventas
16134;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16133;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16132;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16131;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16130;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16129;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16128;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16127;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16126;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16125;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16124;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16123;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16122;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16121;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16120;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16119;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16118;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16117;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16116;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16115;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16114;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16113;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16112;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16111;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16110;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16109;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16108;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16107;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16106;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16105;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16104;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16103;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16102;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16101;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16100;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16099;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16098;Cajero;"4/9/2026, 3:13:46 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16097;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:46 p. m.";CLOSED;100000;100000;0;-100000;0
16096;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16095;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16094;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16093;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16092;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16091;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16090;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16089;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16088;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16087;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16086;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16085;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16084;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16083;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16082;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16081;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16080;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16079;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16078;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16077;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16076;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16075;Cajero;"4/9/2026, 3:13:45 p. m.";"4/9/2026, 3:13:45 p. m.";CLOSED;100000;100000;0;-100000;0
16074;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16073;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16072;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16071;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16070;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16069;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16068;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16067;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16066;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16065;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16064;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16063;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16062;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16061;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16060;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16059;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16058;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16057;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16056;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16055;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16054;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16053;Cajero;"4/9/2026, 3:13:44 p. m.";"4/9/2026, 3:13:44 p. m.";CLOSED;100000;100000;0;-100000;0
16052;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16051;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16050;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16049;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16048;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16047;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16046;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16045;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16044;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16043;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16042;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16041;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16040;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16039;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16038;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16037;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16036;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16035;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16034;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16033;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16032;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16031;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16030;Cajero;"4/9/2026, 3:13:43 p. m.";"4/9/2026, 3:13:43 p. m.";CLOSED;100000;100000;0;-100000;0
16029;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16028;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16027;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16026;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16025;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16024;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16023;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16022;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16021;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16020;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16019;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16018;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16017;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16016;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16015;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16014;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16013;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16012;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16011;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16010;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16009;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16008;Cajero;"4/9/2026, 3:13:42 p. m.";"4/9/2026, 3:13:42 p. m.";CLOSED;100000;100000;0;-100000;0
16007;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16006;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16005;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16004;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16003;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16002;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16001;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
16000;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
15999;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
15998;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
15997;Cajero;"4/9/2026, 3:13:41 p. m.";"4/9/2026, 3:13:41 p. m.";CLOSED;100000;100000;0;-100000;0
