ID;Fecha;Usuario;Acción;Entidad;Detalle
56106;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0978"",""total"":40906.15,""items"":1}"
56105;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0977"",""total"":22490.39,""items"":1}"
56104;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0976"",""total"":27848.8,""items"":1}"
56103;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0975"",""total"":26424.1,""items"":1}"
56102;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0974"",""total"":10713.09,""items"":1}"
56101;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0973"",""total"":46399.21,""items"":1}"
56100;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0972"",""total"":29329.02,""items"":1}"
56099;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0971"",""total"":6440.12,""items"":1}"
56098;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0970"",""total"":49065.57,""items"":1}"
56097;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0969"",""total"":31026.74,""items"":1}"
56096;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0968"",""total"":24129.73,""items"":1}"
56095;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0967"",""total"":15834.36,""items"":1}"
56094;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0966"",""total"":60563.69,""items"":1}"
56093;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0965"",""total"":43201.79,""items"":1}"
56092;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0964"",""total"":70872.51,""items"":1}"
56091;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0963"",""total"":33681.64,""items"":1}"
56090;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0962"",""total"":43228.53,""items"":1}"
56089;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0961"",""total"":27850.87,""items"":1}"
56088;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0960"",""total"":43789.92,""items"":1}"
56087;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0959"",""total"":10648.48,""items"":1}"
56086;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0958"",""total"":39406.39,""items"":1}"
56085;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0957"",""total"":37331.25,""items"":1}"
56084;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0956"",""total"":17901.77,""items"":1}"
56083;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0955"",""total"":47463.9,""items"":1}"
56082;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0954"",""total"":2742.26,""items"":1}"
56081;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0953"",""total"":46763.03,""items"":1}"
56080;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0952"",""total"":5716.92,""items"":1}"
56079;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0951"",""total"":48144.79,""items"":1}"
56078;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0950"",""total"":35164.76,""items"":1}"
56077;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0949"",""total"":98257.52,""items"":1}"
56076;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0948"",""total"":39232.55,""items"":1}"
56075;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0947"",""total"":20367.89,""items"":1}"
56074;"4/9/2026, 3:14:08 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0946"",""total"":35679.45,""items"":1}"
56073;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0945"",""total"":43651.75,""items"":1}"
56072;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0944"",""total"":34052.39,""items"":1}"
56071;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0943"",""total"":27803.02,""items"":1}"
56070;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0942"",""total"":43405.04,""items"":1}"
56069;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0941"",""total"":95593.35,""items"":1}"
56068;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0940"",""total"":24930.39,""items"":1}"
56067;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0939"",""total"":43169.04,""items"":1}"
56066;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0938"",""total"":21402.13,""items"":1}"
56065;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0937"",""total"":46844.23,""items"":1}"
56064;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0936"",""total"":40290.46,""items"":1}"
56063;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0935"",""total"":19481.2,""items"":1}"
56062;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0934"",""total"":515.14,""items"":1}"
56061;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0933"",""total"":33944.69,""items"":1}"
56060;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0932"",""total"":13895.84,""items"":1}"
56059;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0931"",""total"":41865.42,""items"":1}"
56058;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0930"",""total"":32561.86,""items"":1}"
56057;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0929"",""total"":11904.98,""items"":1}"
56056;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0928"",""total"":35980.39,""items"":1}"
56055;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0927"",""total"":30812.72,""items"":1}"
56054;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0926"",""total"":13241.4,""items"":1}"
56053;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0925"",""total"":75584.42,""items"":1}"
56052;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0924"",""total"":36074.23,""items"":1}"
56051;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0923"",""total"":28721.97,""items"":1}"
56050;"4/9/2026, 3:14:07 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0922"",""total"":84494.01,""items"":1}"
56049;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0921"",""total"":17865.56,""items"":1}"
56048;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0920"",""total"":45451.26,""items"":1}"
56047;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0919"",""total"":39149.51,""items"":1}"
56046;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0918"",""total"":3298.2,""items"":1}"
56045;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0917"",""total"":42273.56,""items"":1}"
56044;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0916"",""total"":92800.97,""items"":1}"
56043;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0915"",""total"":46399.21,""items"":1}"
56042;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0914"",""total"":14858.73,""items"":1}"
56041;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0913"",""total"":56466.94,""items"":1}"
56040;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0912"",""total"":11418.19,""items"":1}"
56039;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0911"",""total"":93603.72,""items"":1}"
56038;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0910"",""total"":57926.16,""items"":1}"
56037;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0909"",""total"":43641.19,""items"":1}"
56036;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0908"",""total"":19415.36,""items"":1}"
56035;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0907"",""total"":6861.13,""items"":1}"
56034;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0906"",""total"":22993.78,""items"":1}"
56033;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0905"",""total"":10648.48,""items"":1}"
56032;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0904"",""total"":68468.77,""items"":1}"
56031;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0903"",""total"":1939.41,""items"":1}"
56030;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0902"",""total"":49877.65,""items"":1}"
56029;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0901"",""total"":34687.42,""items"":1}"
56028;"4/9/2026, 3:14:06 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0900"",""total"":30832.22,""items"":1}"
56027;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0899"",""total"":7669.7,""items"":1}"
56026;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0898"",""total"":37859.37,""items"":1}"
56025;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0897"",""total"":34032.11,""items"":1}"
56024;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0896"",""total"":14937.25,""items"":1}"
56023;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0895"",""total"":92340.43,""items"":1}"
56022;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0894"",""total"":68031.12,""items"":1}"
56021;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0893"",""total"":6743.34,""items"":1}"
56020;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0892"",""total"":6292.33,""items"":1}"
56019;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0891"",""total"":29938.76,""items"":1}"
56018;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0890"",""total"":10014.89,""items"":1}"
56017;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0889"",""total"":43978.93,""items"":1}"
56016;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0888"",""total"":42104.07,""items"":1}"
56015;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0887"",""total"":7241.18,""items"":1}"
56014;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0886"",""total"":42295.12,""items"":1}"
56013;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0885"",""total"":24535.51,""items"":1}"
56012;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0884"",""total"":8946.69,""items"":1}"
56011;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0883"",""total"":45638.46,""items"":1}"
56010;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0882"",""total"":52714.55,""items"":1}"
56009;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0881"",""total"":99752.04,""items"":1}"
56008;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0880"",""total"":91659.02,""items"":1}"
56007;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0879"",""total"":4957.39,""items"":1}"
56006;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0878"",""total"":11856.56,""items"":1}"
56005;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0877"",""total"":40830.18,""items"":1}"
56004;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0876"",""total"":24114.16,""items"":1}"
56003;"4/9/2026, 3:14:05 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0875"",""total"":36329.22,""items"":1}"
56002;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0874"",""total"":55722.9,""items"":1}"
56001;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0873"",""total"":10566.15,""items"":1}"
56000;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0872"",""total"":63564.02,""items"":1}"
55999;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0871"",""total"":1344.82,""items"":1}"
55998;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0870"",""total"":11266.47,""items"":1}"
55997;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0869"",""total"":24810.83,""items"":1}"
55996;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0868"",""total"":14415.66,""items"":1}"
55995;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0867"",""total"":20072.51,""items"":1}"
55994;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0866"",""total"":48209.77,""items"":1}"
55993;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0865"",""total"":20640.53,""items"":1}"
55992;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0864"",""total"":67716.58,""items"":1}"
55991;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0863"",""total"":5005.93,""items"":1}"
55990;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0862"",""total"":37426.55,""items"":1}"
55989;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0861"",""total"":37399.24,""items"":1}"
55988;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0860"",""total"":29075.71,""items"":1}"
55987;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0859"",""total"":9772.37,""items"":1}"
55986;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0858"",""total"":18130.94,""items"":1}"
55985;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0857"",""total"":18881.09,""items"":1}"
55984;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0856"",""total"":15026.36,""items"":1}"
55983;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0855"",""total"":46045.94,""items"":1}"
55982;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0854"",""total"":18931.1,""items"":1}"
55981;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0853"",""total"":1727.71,""items"":1}"
55980;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0852"",""total"":24268.3,""items"":1}"
55979;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0851"",""total"":19852.38,""items"":1}"
55978;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0850"",""total"":35283.73,""items"":1}"
55977;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0849"",""total"":47894.82,""items"":1}"
55976;"4/9/2026, 3:14:04 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0848"",""total"":25586.35,""items"":1}"
55975;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0847"",""total"":44642.28,""items"":1}"
55974;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0846"",""total"":73828.43,""items"":1}"
55973;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0845"",""total"":53576.67,""items"":1}"
55972;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0844"",""total"":1058.39,""items"":1}"
55971;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0843"",""total"":16397.41,""items"":1}"
55970;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0842"",""total"":35687.41,""items"":1}"
55969;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0841"",""total"":79371.13,""items"":1}"
55968;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0840"",""total"":72202.21,""items"":1}"
55967;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0839"",""total"":11453.17,""items"":1}"
55966;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0838"",""total"":52691.16,""items"":1}"
55965;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0837"",""total"":43336.72,""items"":1}"
55964;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0836"",""total"":48123.36,""items"":1}"
55963;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0835"",""total"":85348.04,""items"":1}"
55962;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0834"",""total"":20432.1,""items"":1}"
55961;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0833"",""total"":60797.91,""items"":1}"
55960;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0832"",""total"":3143.69,""items"":1}"
55959;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0831"",""total"":48991.34,""items"":1}"
55958;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0830"",""total"":58217.28,""items"":1}"
55957;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0829"",""total"":22419.87,""items"":1}"
55956;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0828"",""total"":8143.26,""items"":1}"
55955;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0827"",""total"":45563.43,""items"":1}"
55954;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0826"",""total"":98536.44,""items"":1}"
55953;"4/9/2026, 3:14:03 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0825"",""total"":2199.17,""items"":1}"
55952;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0824"",""total"":19637.99,""items"":1}"
55951;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0823"",""total"":53234.72,""items"":1}"
55950;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0822"",""total"":47066.83,""items"":1}"
55949;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0821"",""total"":30391.97,""items"":1}"
55948;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0820"",""total"":28383.32,""items"":1}"
55947;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0819"",""total"":12364.15,""items"":1}"
55946;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0818"",""total"":4119.38,""items"":1}"
55945;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0817"",""total"":19418.5,""items"":1}"
55944;"4/9/2026, 3:14:02 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0816"",""total"":46850.11,""items"":1}"
