Código;Nombre;Categoría;Stock;Costo Unit.;Precio;Costo Total
NEW-1788552196595-842-4;Bulk 842-4;Nueva Cat;381;19381.86;22931.29;7384488.66
NEW-1788552196261-740-0;Bulk 740-0;Lacteos;258;28570.03;36342.64;7371067.739999999
STRESS-1788552190075-1780;Stress Product 1780;Lacteos;868;8367.32;64612.12;7262833.76
NEW-1788552195139-400-8;Bulk 400-8;Snacks;322;22537.38;41846.41;7257036.36
NEW-1788552196087-687-8;Bulk 687-8;Snacks;317;22759.97;1880.96;7214910.49
NEW-1788552196572-835-2;Bulk 835-2;Bebidas;302;23303.91;38629.9;7037780.82
STRESS-1788552187939-111;Stress Product 111;Lacteos;276;24227.69;8876.41;6686842.4399999995
NEW-1788552196087-687-4;Bulk 687-4;Snacks;270;24272.52;46382.03;6553580.4
PROD-0026;Producto 26;Snacks;255;25172.26;35960.37;6418926.3
STRESS-1788552187994-152;Stress Product 152;Bebidas;297;19353.17;34023.11;5747891.489999999
NEW-1788552195842-614-2;Bulk 614-2;Snacks;285;19957.09;25794.32;5687770.65
NEW-1788552195922-638-4;Bulk 638-4;Snacks;404;13438.44;49634.14;5429129.76
NEW-1788552195340-455-5;Bulk 455-5;Nueva Cat;258;20493.99;7424.46;5287449.420000001
STRESS-1788552188474-531;Stress Product 531;Snacks;554;9476.11;85406.05;5249764.94
STRESS-1788552189429-1346;Stress Product 1346;Lacteos;343;14308.67;90720.89;4907873.81
NEW-1788552194704-288-4;Bulk 288-4;Nueva Cat;325;14762.22;16935.8;4797721.5
NEW-1788552194565-254-1;Bulk 254-1;Nueva Cat;201;23641;38182.05;4751841
NEW-1788552193957-47-2;Bulk 47-2;Bebidas;168;28159.17;26068.34;4730740.56
NEW-1788552194082-91-4;Bulk 91-4;Lacteos;496;9341.39;39132.39;4633329.4399999995
STRESS-1788552187848-70;Stress Product 70;Lacteos;489;9300.08;29549.89;4547739.12
NEW-1788552195222-422-7;Bulk 422-7;Nueva Cat;323;13937.55;31862.62;4501828.649999999
NEW-1788552194874-333-1;Bulk 333-1;Bebidas;151;28948.22;42335.04;4371181.22
NEW-1788552195034-381-3;Bulk 381-3;Snacks;172;24974.32;32253.55;4295583.04
NEW-1788552194880-335-8;Bulk 335-8;Snacks;139;29914.67;9492.23;4158139.13
NEW-1788552197120-993-0;Bulk 993-0;Nueva Cat;497;8185.4;4977.13;4068143.8
NEW-1788552194244-154-1;Bulk 154-1;Bebidas;238;17060.18;48046.45;4060322.84
NEW-1788552194374-198-1;Bulk 198-1;Nueva Cat;449;8878.24;25134.77;3986329.76
NEW-1788552196138-698-6;Bulk 698-6;Lacteos;154;25178.04;11792.56;3877418.16
STRESS-1788552189158-1097;Stress Product 1097;Bebidas;368;9974.33;13629.9;3670553.44
NEW-1788552194765-310-1;Bulk 310-1;Lacteos;135;26773.21;1303.88;3614383.35
NEW-1788552194172-118-8;Bulk 118-8;Nueva Cat;180;17380.21;21733.3;3128437.8
NEW-1788552195029-380-7;Bulk 380-7;Nueva Cat;356;8702.55;34173.49;3098107.8
NEW-1788552195496-505-2;Bulk 505-2;Nueva Cat;201;15143.58;48785.82;3043859.58
NEW-1788552194995-366-5;Bulk 366-5;Lacteos;412;7263.57;1433.99;2992590.84
NEW-1788552195744-586-0;Bulk 586-0;Snacks;129;21629.03;37407.55;2790144.8699999996
NEW-1788552197097-988-4;Bulk 988-4;Nueva Cat;241;10143.14;46025.46;2444496.7399999998
NEW-1788552194119-106-4;Bulk 106-4;Bebidas;149;16127.86;26190.64;2403051.14
NEW-1788552196341-761-2;Bulk 761-2;Nueva Cat;98;24170.1;45106.15;2368669.8
STRESS-1788552189204-1142;Stress Product 1142;Lacteos;494;4759.52;5318.72;2351202.8800000004
NEW-1788552194370-196-1;Bulk 196-1;Snacks;197;11896.45;2130.25;2343600.6500000004
NEW-1788552196281-748-5;Bulk 748-5;Nueva Cat;255;8956.59;3332.27;2283930.45
STRESS-1788552188021-178;Stress Product 178;Bebidas;210;9939.65;30404.42;2087326.5
NEW-1788552196590-841-5;Bulk 841-5;Lacteos;264;7871.09;1402.37;2077967.76
NEW-1788552195882-624-4;Bulk 624-4;Bebidas;328;5860.34;38089.33;1922191.52
NEW-1788552195301-442-3;Bulk 442-3;Snacks;321;5672.43;49833.56;1820850.03
STRESS-1788552188612-658;Stress Product 658;Lacteos;88;18589.02;34785.33;1635833.76
NEW-1788552194312-177-1;Bulk 177-1;Nueva Cat;142;11087.56;29124.87;1574433.52
STRESS-1788552189546-1432;Stress Product 1432;Snacks;479;3251.62;20556.62;1557525.98
STRESS-1788552190015-1740;Stress Product 1740;Lacteos;416;2891.15;56890.1;1202718.4000000001
STRESS-1788552190183-1879;Stress Product 1879;Snacks;126;9473.39;14842.9;1193647.14
NEW-1788552194444-222-1;Bulk 222-1;Snacks;223;5286.92;40492.86;1178983.16
NEW-1788552195200-417-4;Bulk 417-4;Bebidas;99;11863.15;21935.87;1174451.8499999999
NEW-1788552195390-476-4;Bulk 476-4;Bebidas;59;16519.57;23101.04;974654.63
NEW-1788552196087-687-0;Bulk 687-0;Nueva Cat;253;3458.66;44708.22;875040.98
NEW-1788552196350-765-0;Bulk 765-0;Lacteos;66;12904.91;6415.29;851724.0599999999
PROD-0146;Producto 146;Snacks;106;7334.34;22919.81;777440.04
NEW-1788552194265-161-7;Bulk 161-7;Snacks;131;5461.08;39874.55;715401.48
NEW-1788552196778-892-3;Bulk 892-3;Bebidas;74;9352.85;1519.78;692110.9
NEW-1788552196379-773-2;Bulk 773-2;Snacks;33;19574.93;3652.13;645972.6900000001
NEW-1788552196939-938-0;Bulk 938-0;Bebidas;165;3851.78;26558.29;635543.7000000001
NEW-1788552196766-887-2;Bulk 887-2;Snacks;420;1465.56;48606.96;615535.2
NEW-1788552195246-432-1;Bulk 432-1;Nueva Cat;35;17224.92;33256.1;602872.2
NEW-1788552196346-764-2;Bulk 764-2;Bebidas;262;2196.67;25958.18;575527.54
NEW-1788552194957-348-7;Bulk 348-7;Nueva Cat;41;12626.61;29487.21;517691.01
NEW-1788552196183-711-0;Bulk 711-0;Nueva Cat;107;3345.64;1373.45;357983.48
NEW-1788552196449-799-0;Bulk 799-0;Bebidas;246;1407.51;22098.48;346247.46
STRESS-1788552188029-188;Stress Product 188;Snacks;22;12462.89;77007.56;274183.57999999996
NEW-1788552195842-614-4;Bulk 614-4;Nueva Cat;87;3070.74;24690.82;267154.38
NEW-1788552195537-524-2;Bulk 524-2;Lacteos;223;689.36;29653.33;153727.28
STRESS-1788552189688-1544;Stress Product 1544;Bebidas;146;1052.73;50702.33;153698.58000000002
NEW-1788552195539-525-0;Bulk 525-0;Snacks;134;1137.35;8504.89;152404.9
NEW-1788552196414-785-2;Bulk 785-2;Nueva Cat;25;5841.19;38720.39;146029.75
NEW-1788552194710-290-2;Bulk 290-2;Lacteos;16;8927.42;9599.67;142838.72
NEW-1788552193978-56-4;Bulk 56-4;Lacteos;91;667.53;10919.11;60745.229999999996
STRESS-1788552189444-1363;Stress Product 1363;Snacks;114;344.48;55117.42;39270.72
NEW-1788552195905-632-2;Bulk 632-2;Lacteos;18;732.33;14552.15;13181.94
