N° Factura;Fecha;Vendedor;Cliente;Subtotal;IVA;Descuento;Delivery;Total;Método Pago;Estado
V-2026-7627;"4/9/2026, 3:13:26 p. m.";Cajero;;84876.03;0;0;0;84876.03;"efectivo: $85.876,03";COMPLETED
V-2026-7626;"4/9/2026, 3:13:26 p. m.";Cajero;;17154.5;0;0;0;17154.5;"efectivo: $18.154,5";COMPLETED
V-2026-7625;"4/9/2026, 3:13:26 p. m.";Cajero;;2274.29;0;0;0;2274.29;"efectivo: $3.274,29";COMPLETED
V-2026-7624;"4/9/2026, 3:13:26 p. m.";Cajero;;29031.18;0;0;0;29031.18;"efectivo: $30.031,18";COMPLETED
V-2026-7623;"4/9/2026, 3:13:26 p. m.";Cajero;;24789.6;0;0;0;24789.6;"efectivo: $25.789,6";COMPLETED
V-2026-7622;"4/9/2026, 3:13:26 p. m.";Cajero;;26581.95;0;0;0;26581.95;"efectivo: $27.581,95";COMPLETED
V-2026-7621;"4/9/2026, 3:13:26 p. m.";Cajero;;48728.29;0;0;0;48728.29;"efectivo: $49.728,29";COMPLETED
V-2026-7620;"4/9/2026, 3:13:26 p. m.";Cajero;;51168.37;0;0;0;51168.37;"efectivo: $52.168,37";COMPLETED
V-2026-7619;"4/9/2026, 3:13:26 p. m.";Cajero;;65277.29;0;0;0;65277.29;"efectivo: $66.277,29";COMPLETED
V-2026-7618;"4/9/2026, 3:13:26 p. m.";Cajero;;8015.54;0;0;0;8015.54;"efectivo: $9.015,54";COMPLETED
V-2026-7617;"4/9/2026, 3:13:26 p. m.";Cajero;;24129.73;0;0;0;24129.73;"efectivo: $25.129,73";COMPLETED
V-2026-7616;"4/9/2026, 3:13:26 p. m.";Cajero;;21269.84;0;0;0;21269.84;"efectivo: $22.269,84";COMPLETED
V-2026-7615;"4/9/2026, 3:13:26 p. m.";Cajero;;1597.33;0;0;0;1597.33;"efectivo: $2.597,33";COMPLETED
V-2026-7614;"4/9/2026, 3:13:26 p. m.";Cajero;;46818.72;0;0;0;46818.72;"efectivo: $47.818,72";COMPLETED
V-2026-7613;"4/9/2026, 3:13:26 p. m.";Cajero;;48436.09;0;0;0;48436.09;"efectivo: $49.436,09";COMPLETED
V-2026-7612;"4/9/2026, 3:13:26 p. m.";Cajero;;82896.49;0;0;0;82896.49;"efectivo: $83.896,49";COMPLETED
V-2026-7611;"4/9/2026, 3:13:26 p. m.";Cajero;;21807.1;0;0;0;21807.1;"efectivo: $22.807,1";COMPLETED
V-2026-7610;"4/9/2026, 3:13:26 p. m.";Cajero;;34449.57;0;0;0;34449.57;"efectivo: $35.449,57";COMPLETED
V-2026-7609;"4/9/2026, 3:13:26 p. m.";Cajero;;70164.43;0;0;0;70164.43;"efectivo: $71.164,43";COMPLETED
V-2026-7608;"4/9/2026, 3:13:26 p. m.";Cajero;;68827.37;0;0;0;68827.37;"efectivo: $69.827,37";COMPLETED
V-2026-7607;"4/9/2026, 3:13:26 p. m.";Cajero;;5176.87;0;0;0;5176.87;"efectivo: $6.176,87";COMPLETED
V-2026-7606;"4/9/2026, 3:13:26 p. m.";Cajero;;45058.18;0;0;0;45058.18;"efectivo: $46.058,18";COMPLETED
V-2026-7605;"4/9/2026, 3:13:26 p. m.";Cajero;;38506.29;0;0;0;38506.29;"efectivo: $39.506,29";COMPLETED
V-2026-7604;"4/9/2026, 3:13:26 p. m.";Cajero;;71750.62;0;0;0;71750.62;"efectivo: $72.750,62";COMPLETED
V-2026-7603;"4/9/2026, 3:13:26 p. m.";Cajero;;28681.24;0;0;0;28681.24;"efectivo: $29.681,24";COMPLETED
V-2026-7602;"4/9/2026, 3:13:26 p. m.";Cajero;;18335.12;0;0;0;18335.12;"efectivo: $19.335,12";COMPLETED
V-2026-7601;"4/9/2026, 3:13:26 p. m.";Cajero;;36940.24;0;0;0;36940.24;"efectivo: $37.940,24";COMPLETED
V-2026-7600;"4/9/2026, 3:13:26 p. m.";Cajero;;5281.02;0;0;0;5281.02;"efectivo: $6.281,02";COMPLETED
V-2026-7599;"4/9/2026, 3:13:26 p. m.";Cajero;;39496.5;0;0;0;39496.5;"efectivo: $40.496,5";COMPLETED
V-2026-7598;"4/9/2026, 3:13:26 p. m.";Cajero;;24684;0;0;0;24684;efectivo: $25.684;COMPLETED
V-2026-7597;"4/9/2026, 3:13:26 p. m.";Cajero;;17599.61;0;0;0;17599.61;"efectivo: $18.599,61";COMPLETED
V-2026-7596;"4/9/2026, 3:13:26 p. m.";Cajero;;19742.88;0;0;0;19742.88;"efectivo: $20.742,88";COMPLETED
V-2026-7595;"4/9/2026, 3:13:26 p. m.";Cajero;;58023.58;0;0;0;58023.58;"efectivo: $59.023,58";COMPLETED
V-2026-7594;"4/9/2026, 3:13:26 p. m.";Cajero;;19020;0;0;0;19020;efectivo: $20.020;COMPLETED
V-2026-7593;"4/9/2026, 3:13:26 p. m.";Cajero;;40288.97;0;0;0;40288.97;"efectivo: $41.288,97";COMPLETED
V-2026-7592;"4/9/2026, 3:13:26 p. m.";Cajero;;28507.19;0;0;0;28507.19;"efectivo: $29.507,19";COMPLETED
V-2026-7591;"4/9/2026, 3:13:26 p. m.";Cajero;;25204.22;0;0;0;25204.22;"efectivo: $26.204,22";COMPLETED
V-2026-7590;"4/9/2026, 3:13:26 p. m.";Cajero;;37137.8;0;0;0;37137.8;"efectivo: $38.137,8";COMPLETED
V-2026-7589;"4/9/2026, 3:13:26 p. m.";Cajero;;32422.23;0;0;0;32422.23;"efectivo: $33.422,23";COMPLETED
V-2026-7588;"4/9/2026, 3:13:26 p. m.";Cajero;;20288.78;0;0;0;20288.78;"efectivo: $21.288,78";COMPLETED
V-2026-7587;"4/9/2026, 3:13:26 p. m.";Cajero;;25170.74;0;0;0;25170.74;"efectivo: $26.170,74";COMPLETED
V-2026-7586;"4/9/2026, 3:13:26 p. m.";Cajero;;9969.38;0;0;0;9969.38;"efectivo: $10.969,38";COMPLETED
V-2026-7585;"4/9/2026, 3:13:26 p. m.";Cajero;;9850.96;0;0;0;9850.96;"efectivo: $10.850,96";COMPLETED
V-2026-7584;"4/9/2026, 3:13:26 p. m.";Cajero;;20153.58;0;0;0;20153.58;"efectivo: $21.153,58";COMPLETED
V-2026-7583;"4/9/2026, 3:13:26 p. m.";Cajero;;16791.69;0;0;0;16791.69;"efectivo: $17.791,69";COMPLETED
V-2026-7582;"4/9/2026, 3:13:26 p. m.";Cajero;;41011.94;0;0;0;41011.94;"efectivo: $42.011,94";COMPLETED
V-2026-7581;"4/9/2026, 3:13:26 p. m.";Cajero;;23359.16;0;0;0;23359.16;"efectivo: $24.359,16";COMPLETED
V-2026-7580;"4/9/2026, 3:13:26 p. m.";Cajero;;13026.38;0;0;0;13026.38;"efectivo: $14.026,38";COMPLETED
V-2026-7579;"4/9/2026, 3:13:26 p. m.";Cajero;;27065.33;0;0;0;27065.33;"efectivo: $28.065,33";COMPLETED
V-2026-7578;"4/9/2026, 3:13:26 p. m.";Cajero;;39106.15;0;0;0;39106.15;"efectivo: $40.106,15";COMPLETED
V-2026-7577;"4/9/2026, 3:13:26 p. m.";Cajero;;46365.2;0;0;0;46365.2;"efectivo: $47.365,2";COMPLETED
V-2026-7576;"4/9/2026, 3:13:26 p. m.";Cajero;;90137.46;0;0;0;90137.46;"efectivo: $91.137,46";COMPLETED
V-2026-7575;"4/9/2026, 3:13:26 p. m.";Cajero;;20203.5;0;0;0;20203.5;"efectivo: $21.203,5";COMPLETED
V-2026-7574;"4/9/2026, 3:13:26 p. m.";Cajero;;41210.94;0;0;0;41210.94;"efectivo: $42.210,94";COMPLETED
V-2026-7573;"4/9/2026, 3:13:26 p. m.";Cajero;;13858.69;0;0;0;13858.69;"efectivo: $14.858,69";COMPLETED
V-2026-7572;"4/9/2026, 3:13:26 p. m.";Cajero;;25486.44;0;0;0;25486.44;"efectivo: $26.486,44";COMPLETED
V-2026-7571;"4/9/2026, 3:13:26 p. m.";Cajero;;18474.77;0;0;0;18474.77;"efectivo: $19.474,77";COMPLETED
V-2026-7570;"4/9/2026, 3:13:26 p. m.";Cajero;;49564.55;0;0;0;49564.55;"efectivo: $50.564,55";COMPLETED
V-2026-7569;"4/9/2026, 3:13:26 p. m.";Cajero;;53465.97;0;0;0;53465.97;"efectivo: $54.465,97";COMPLETED
V-2026-7568;"4/9/2026, 3:13:26 p. m.";Cajero;;33579.45;0;0;0;33579.45;"efectivo: $34.579,45";COMPLETED
V-2026-7567;"4/9/2026, 3:13:26 p. m.";Cajero;;10378.67;0;0;0;10378.67;"efectivo: $11.378,67";COMPLETED
V-2026-7566;"4/9/2026, 3:13:26 p. m.";Cajero;;49309.87;0;0;0;49309.87;"efectivo: $50.309,87";COMPLETED
V-2026-7565;"4/9/2026, 3:13:26 p. m.";Cajero;;45058.18;0;0;0;45058.18;"efectivo: $46.058,18";COMPLETED
V-2026-7564;"4/9/2026, 3:13:26 p. m.";Cajero;;91894.58;0;0;0;91894.58;"efectivo: $92.894,58";COMPLETED
V-2026-7563;"4/9/2026, 3:13:26 p. m.";Cajero;;8481.25;0;0;0;8481.25;"efectivo: $9.481,25";COMPLETED
V-2026-7562;"4/9/2026, 3:13:26 p. m.";Cajero;;2668.24;0;0;0;2668.24;"efectivo: $3.668,24";COMPLETED
V-2026-7561;"4/9/2026, 3:13:26 p. m.";Cajero;;90249.4;0;0;0;90249.4;"efectivo: $91.249,4";COMPLETED
V-2026-7560;"4/9/2026, 3:13:26 p. m.";Cajero;;86575.08;0;0;0;86575.08;"efectivo: $87.575,08";COMPLETED
V-2026-7559;"4/9/2026, 3:13:26 p. m.";Cajero;;20074.48;0;0;0;20074.48;"efectivo: $21.074,48";COMPLETED
V-2026-7558;"4/9/2026, 3:13:25 p. m.";Cajero;;74149.15;0;0;0;74149.15;"efectivo: $75.149,15";COMPLETED
V-2026-7557;"4/9/2026, 3:13:25 p. m.";Cajero;;65238.27;0;0;0;65238.27;"efectivo: $66.238,27";COMPLETED
V-2026-7556;"4/9/2026, 3:13:25 p. m.";Cajero;;36014.77;0;0;0;36014.77;"efectivo: $37.014,77";COMPLETED
V-2026-7555;"4/9/2026, 3:13:25 p. m.";Cajero;;53243.03;0;0;0;53243.03;"efectivo: $54.243,03";COMPLETED
V-2026-7554;"4/9/2026, 3:13:25 p. m.";Cajero;;65131.1;0;0;0;65131.1;"efectivo: $66.131,1";COMPLETED
V-2026-7553;"4/9/2026, 3:13:25 p. m.";Cajero;;84479.86;0;0;0;84479.86;"efectivo: $85.479,86";COMPLETED
V-2026-7552;"4/9/2026, 3:13:25 p. m.";Cajero;;20364.57;0;0;0;20364.57;"efectivo: $21.364,57";COMPLETED
V-2026-7551;"4/9/2026, 3:13:25 p. m.";Cajero;;4367.49;0;0;0;4367.49;"efectivo: $5.367,49";COMPLETED
V-2026-7550;"4/9/2026, 3:13:25 p. m.";Cajero;;21077.1;0;0;0;21077.1;"efectivo: $22.077,1";COMPLETED
V-2026-7549;"4/9/2026, 3:13:25 p. m.";Cajero;;35767.34;0;0;0;35767.34;"efectivo: $36.767,34";COMPLETED
V-2026-7548;"4/9/2026, 3:13:25 p. m.";Cajero;;51651.44;0;0;0;51651.44;"efectivo: $52.651,44";COMPLETED
V-2026-7547;"4/9/2026, 3:13:25 p. m.";Cajero;;16136.63;0;0;0;16136.63;"efectivo: $17.136,63";COMPLETED
V-2026-7546;"4/9/2026, 3:13:25 p. m.";Cajero;;22124.23;0;0;0;22124.23;"efectivo: $23.124,23";COMPLETED
V-2026-7545;"4/9/2026, 3:13:25 p. m.";Cajero;;6607.5;0;0;0;6607.5;"efectivo: $7.607,5";COMPLETED
V-2026-7544;"4/9/2026, 3:13:25 p. m.";Cajero;;28792.68;0;0;0;28792.68;"efectivo: $29.792,68";COMPLETED
V-2026-7543;"4/9/2026, 3:13:25 p. m.";Cajero;;33168.66;0;0;0;33168.66;"efectivo: $34.168,66";COMPLETED
V-2026-7542;"4/9/2026, 3:13:25 p. m.";Cajero;;91385.42;0;0;0;91385.42;"efectivo: $92.385,42";COMPLETED
V-2026-7541;"4/9/2026, 3:13:25 p. m.";Cajero;;5071.04;0;0;0;5071.04;"efectivo: $6.071,04";COMPLETED
V-2026-7540;"4/9/2026, 3:13:25 p. m.";Cajero;;35395.06;0;0;0;35395.06;"efectivo: $36.395,06";COMPLETED
V-2026-7539;"4/9/2026, 3:13:25 p. m.";Cajero;;35235.8;0;0;0;35235.8;"efectivo: $36.235,8";COMPLETED
V-2026-7538;"4/9/2026, 3:13:25 p. m.";Cajero;;33481.86;0;0;0;33481.86;"efectivo: $34.481,86";COMPLETED
V-2026-7537;"4/9/2026, 3:13:25 p. m.";Cajero;;41970.32;0;0;0;41970.32;"efectivo: $42.970,32";COMPLETED
V-2026-7536;"4/9/2026, 3:13:25 p. m.";Cajero;;46118.37;0;0;0;46118.37;"efectivo: $47.118,37";COMPLETED
V-2026-7535;"4/9/2026, 3:13:25 p. m.";Cajero;;1005.23;0;0;0;1005.23;"efectivo: $2.005,23";COMPLETED
V-2026-7534;"4/9/2026, 3:13:25 p. m.";Cajero;;7342.61;0;0;0;7342.61;"efectivo: $8.342,61";COMPLETED
V-2026-7533;"4/9/2026, 3:13:25 p. m.";Cajero;;98795.34;0;0;0;98795.34;"efectivo: $99.795,34";COMPLETED
V-2026-7532;"4/9/2026, 3:13:25 p. m.";Cajero;;27665.42;0;0;0;27665.42;"efectivo: $28.665,42";COMPLETED
V-2026-7531;"4/9/2026, 3:13:25 p. m.";Cajero;;30169.77;0;0;0;30169.77;"efectivo: $31.169,77";COMPLETED
V-2026-7530;"4/9/2026, 3:13:25 p. m.";Cajero;;41527.76;0;0;0;41527.76;"efectivo: $42.527,76";COMPLETED
V-2026-7529;"4/9/2026, 3:13:25 p. m.";Cajero;;31660.15;0;0;0;31660.15;"efectivo: $32.660,15";COMPLETED
V-2026-7528;"4/9/2026, 3:13:25 p. m.";Cajero;;16503.3;0;0;0;16503.3;"efectivo: $17.503,3";COMPLETED
V-2026-7527;"4/9/2026, 3:13:25 p. m.";Cajero;;59973.88;0;0;0;59973.88;"efectivo: $60.973,88";COMPLETED
V-2026-7526;"4/9/2026, 3:13:25 p. m.";Cajero;;454.1;0;0;0;454.1;"efectivo: $1.454,1";COMPLETED
V-2026-7525;"4/9/2026, 3:13:25 p. m.";Cajero;;33579.45;0;0;0;33579.45;"efectivo: $34.579,45";COMPLETED
V-2026-7524;"4/9/2026, 3:13:25 p. m.";Cajero;;60563.69;0;0;0;60563.69;"efectivo: $61.563,69";COMPLETED
V-2026-7523;"4/9/2026, 3:13:25 p. m.";Cajero;;23255.48;0;0;0;23255.48;"efectivo: $24.255,48";COMPLETED
V-2026-7522;"4/9/2026, 3:13:25 p. m.";Cajero;;61051.4;0;0;0;61051.4;"efectivo: $62.051,4";COMPLETED
V-2026-7521;"4/9/2026, 3:13:25 p. m.";Cajero;;4853.18;0;0;0;4853.18;"efectivo: $5.853,18";COMPLETED
V-2026-7520;"4/9/2026, 3:13:25 p. m.";Cajero;;13658.95;0;0;0;13658.95;"efectivo: $14.658,95";COMPLETED
V-2026-7519;"4/9/2026, 3:13:25 p. m.";Cajero;;89003.17;0;0;0;89003.17;"efectivo: $90.003,17";COMPLETED
V-2026-7518;"4/9/2026, 3:13:25 p. m.";Cajero;;91489.95;0;0;0;91489.95;"efectivo: $92.489,95";COMPLETED
V-2026-7517;"4/9/2026, 3:13:25 p. m.";Cajero;;43958.17;0;0;0;43958.17;"efectivo: $44.958,17";COMPLETED
V-2026-7516;"4/9/2026, 3:13:25 p. m.";Cajero;;34497.52;0;0;0;34497.52;"efectivo: $35.497,52";COMPLETED
V-2026-7515;"4/9/2026, 3:13:25 p. m.";Cajero;;5257.35;0;0;0;5257.35;"efectivo: $6.257,35";COMPLETED
V-2026-7514;"4/9/2026, 3:13:25 p. m.";Cajero;;68564.41;0;0;0;68564.41;"efectivo: $69.564,41";COMPLETED
V-2026-7513;"4/9/2026, 3:13:25 p. m.";Cajero;;49313.56;0;0;0;49313.56;"efectivo: $50.313,56";COMPLETED
V-2026-7512;"4/9/2026, 3:13:25 p. m.";Cajero;;48144.83;0;0;0;48144.83;"efectivo: $49.144,83";COMPLETED
V-2026-7511;"4/9/2026, 3:13:25 p. m.";Cajero;;15491.56;0;0;0;15491.56;"efectivo: $16.491,56";COMPLETED
V-2026-7510;"4/9/2026, 3:13:25 p. m.";Cajero;;3380.96;0;0;0;3380.96;"efectivo: $4.380,96";COMPLETED
V-2026-7509;"4/9/2026, 3:13:25 p. m.";Cajero;;8163.83;0;0;0;8163.83;"efectivo: $9.163,83";COMPLETED
V-2026-7508;"4/9/2026, 3:13:25 p. m.";Cajero;;46163.26;0;0;0;46163.26;"efectivo: $47.163,26";COMPLETED
V-2026-7507;"4/9/2026, 3:13:25 p. m.";Cajero;;34727.66;0;0;0;34727.66;"efectivo: $35.727,66";COMPLETED
V-2026-7506;"4/9/2026, 3:13:25 p. m.";Cajero;;35112.55;0;0;0;35112.55;"efectivo: $36.112,55";COMPLETED
V-2026-7505;"4/9/2026, 3:13:25 p. m.";Cajero;;14787.55;0;0;0;14787.55;"efectivo: $15.787,55";COMPLETED
V-2026-7504;"4/9/2026, 3:13:25 p. m.";Cajero;;47841.19;0;0;0;47841.19;"efectivo: $48.841,19";COMPLETED
V-2026-7503;"4/9/2026, 3:13:25 p. m.";Cajero;;29008.8;0;0;0;29008.8;"efectivo: $30.008,8";COMPLETED
