Código;Código Barras;Nombre;Categoría;Precio;Costo;Stock;Stock Mínimo;Stock Crítico;IVA %;Unidad;Activo;Ubicación;Vencimiento
NEW-1788552194184-122-1;7706084000;Bulk 122-1;Snacks;1613.91;19130.66;35;5;2;0;UNIT;Sí;;
NEW-1788552194184-122-2;7708649419;Bulk 122-2;Lacteos;20356.48;2040.88;207;5;2;0;UNIT;Sí;;
NEW-1788552194186-123-0;7709490710;Bulk 123-0;Bebidas;29075.71;20104.69;110;5;2;0;UNIT;Sí;;
NEW-1788552194186-123-2;;Bulk 123-2;Bebidas;47555.17;10757.11;305;5;2;0;UNIT;Sí;;
NEW-1788552194186-123-3;7702754286;Bulk 123-3;Snacks;4715.46;13904.09;49;5;2;0;UNIT;Sí;;
NEW-1788552194186-123-5;7706939364;Bulk 123-5;Nueva Cat;25538.7;14141.73;45;5;2;0;UNIT;Sí;;
NEW-1788552194190-125-0;7701851436;Bulk 125-0;Nueva Cat;19891.05;4717.03;443;5;2;0;UNIT;Sí;;
NEW-1788552194191-126-0;7702818274;Bulk 126-0;Snacks;43957;4568.79;126;5;2;0;UNIT;Sí;;
NEW-1788552194191-126-1;;Bulk 126-1;Nueva Cat;11289.18;11025.47;319;5;2;0;UNIT;Sí;;
NEW-1788552194191-126-2;;Bulk 126-2;Bebidas;33604.77;10803.07;454;5;2;0;UNIT;Sí;;
NEW-1788552194192-127-0;7703399151;Bulk 127-0;Lacteos;20393.94;3163.69;456;5;2;0;UNIT;Sí;;
NEW-1788552194193-128-2;7701082331;Bulk 128-2;Snacks;21778.68;29209.8;47;5;2;0;UNIT;Sí;;
NEW-1788552194194-129-0;;Bulk 129-0;Lacteos;29719.46;28014;175;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194194-129-1;;Bulk 129-1;Lacteos;9248.32;28338.73;72;5;2;0;UNIT;Sí;;
NEW-1788552193874-13-0;7706194701;Bulk 13-0;Bebidas;32386.2;21438.5;284;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552193874-13-5;7704093915;Bulk 13-5;Snacks;18020.33;22318.93;510;5;2;0;UNIT;Sí;;
NEW-1788552193874-13-7;7708128407;Bulk 13-7;Nueva Cat;13895.84;14020.41;54;5;2;0;UNIT;Sí;;
NEW-1788552194195-130-0;;Bulk 130-0;Snacks;48017.3;25325.11;176;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194195-130-2;;Bulk 130-2;Nueva Cat;11179.26;15711.95;76;5;2;0;UNIT;Sí;;
NEW-1788552194195-130-3;7705171823;Bulk 130-3;Nueva Cat;47841.19;28430.49;188;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194195-130-5;;Bulk 130-5;Lacteos;40153.67;25722.68;436;5;2;0;UNIT;Sí;;
NEW-1788552194195-130-6;7709966846;Bulk 130-6;Bebidas;14852.18;7245.33;47;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194200-131-1;;Bulk 131-1;Bebidas;6740.82;12790.3;153;5;2;0;UNIT;Sí;;
NEW-1788552194200-131-2;7706939562;Bulk 131-2;Snacks;13183;22424.3;417;5;2;0;UNIT;Sí;;
NEW-1788552194200-131-5;;Bulk 131-5;Nueva Cat;27688.35;7321.58;229;5;2;0;UNIT;Sí;;
NEW-1788552194200-131-6;;Bulk 131-6;Nueva Cat;18591.15;16835.01;307;5;2;0;UNIT;Sí;;
NEW-1788552194200-131-9;7709150371;Bulk 131-9;Nueva Cat;20616.27;29858.39;443;5;2;0;UNIT;Sí;;
NEW-1788552194204-132-0;7706036032;Bulk 132-0;Bebidas;34178.27;11615.98;283;5;2;0;UNIT;Sí;;
NEW-1788552194204-132-1;7705224941;Bulk 132-1;Snacks;39496.5;25445.95;441;5;2;0;UNIT;Sí;;
NEW-1788552194205-133-1;7703293964;Bulk 133-1;Bebidas;24971.04;940.07;358;5;2;0;UNIT;Sí;;
NEW-1788552194206-134-0;;Bulk 134-0;Snacks;18617.42;21722.86;319;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194206-134-1;7705060430;Bulk 134-1;Lacteos;22139.9;22265.25;206;5;2;0;UNIT;Sí;;
NEW-1788552194206-134-3;7708854557;Bulk 134-3;Bebidas;7273.67;25855.91;124;5;2;0;UNIT;Sí;;
NEW-1788552194209-136-3;7705184302;Bulk 136-3;Nueva Cat;29587.32;5693.07;281;5;2;0;UNIT;Sí;;
NEW-1788552194211-138-0;7708501529;Bulk 138-0;Bebidas;3523.67;22850.86;136;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194211-139-1;;Bulk 139-1;Snacks;12401.97;1861.56;142;5;2;0;UNIT;Sí;;
NEW-1788552193877-14-0;7709644551;Bulk 14-0;Snacks;47018.96;17828.24;180;5;2;0;UNIT;Sí;;
NEW-1788552193877-14-3;7704171659;Bulk 14-3;Lacteos;6956.16;16245.91;416;5;2;0;UNIT;Sí;;
NEW-1788552194213-141-1;7706648710;Bulk 141-1;Lacteos;4258.38;2194.98;46;5;2;0;UNIT;Sí;;
NEW-1788552194213-141-5;7707160504;Bulk 141-5;Lacteos;40290.46;6258.46;114;5;2;0;UNIT;Sí;;
NEW-1788552194213-141-6;;Bulk 141-6;Snacks;42476.58;2943.58;428;5;2;0;UNIT;Sí;;
NEW-1788552194213-141-8;7709346022;Bulk 141-8;Snacks;8567.32;4822.15;424;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194217-142-1;;Bulk 142-1;Snacks;33579.45;29963.59;94;5;2;0;UNIT;Sí;;
NEW-1788552194218-143-0;;Bulk 143-0;Bebidas;22222.25;22077.92;142;5;2;0;UNIT;Sí;;
NEW-1788552194219-144-1;;Bulk 144-1;Lacteos;30297.93;14193.59;406;5;2;0;UNIT;Sí;;
NEW-1788552194220-145-0;7701582569;Bulk 145-0;Nueva Cat;23685.14;4630.67;303;5;2;0;UNIT;Sí;;
NEW-1788552194220-145-2;;Bulk 145-2;Lacteos;32129.54;10538.06;464;5;2;0;UNIT;Sí;;
NEW-1788552194220-145-4;7702166824;Bulk 145-4;Bebidas;33781.68;3304.03;170;5;2;0;UNIT;Sí;;
NEW-1788552194220-145-5;7706109070;Bulk 145-5;Snacks;19880.87;8115.12;49;5;2;0;UNIT;Sí;;
NEW-1788552194226-146-0;7709448647;Bulk 146-0;Lacteos;35161.48;14305.77;135;5;2;0;UNIT;Sí;;
NEW-1788552194227-148-0;7703629624;Bulk 148-0;Snacks;14674.46;17800.82;118;5;2;0;UNIT;Sí;;
NEW-1788552194227-148-3;;Bulk 148-3;Snacks;25332.19;28036.69;481;5;2;0;UNIT;Sí;;
NEW-1788552194227-148-4;;Bulk 148-4;Bebidas;13780.78;7712.66;428;5;2;0;UNIT;Sí;;
NEW-1788552194227-148-5;7707552334;Bulk 148-5;Lacteos;24345.45;4551.99;219;5;2;0;UNIT;Sí;;
NEW-1788552194227-148-6;7709344529;Bulk 148-6;Bebidas;12000.17;21912.31;444;5;2;0;UNIT;Sí;;
NEW-1788552194227-148-9;7703734032;Bulk 148-9;Lacteos;33563.12;13774.96;192;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194231-149-0;;Bulk 149-0;Lacteos;7241.18;25095.82;124;5;2;0;UNIT;Sí;;
NEW-1788552193880-15-3;7701498962;Bulk 15-3;Bebidas;9385.64;24622.02;328;5;2;0;UNIT;Sí;;
NEW-1788552194233-150-6;7706210724;Bulk 150-6;Nueva Cat;46778.92;5926.69;292;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194236-151-0;;Bulk 151-0;Lacteos;30849.39;21431.63;435;5;2;0;UNIT;Sí;;
NEW-1788552194236-151-3;7706081645;Bulk 151-3;Bebidas;43969.63;13197.07;149;5;2;0;UNIT;Sí;;
NEW-1788552194236-151-4;;Bulk 151-4;Lacteos;47680.6;15835.59;42;5;2;0;UNIT;Sí;;
NEW-1788552194236-151-5;7701279881;Bulk 151-5;Lacteos;13913.07;29980.32;357;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194236-151-9;7702202505;Bulk 151-9;Bebidas;1335.69;29557.1;370;5;2;0;UNIT;Sí;;
NEW-1788552194240-152-2;7704740222;Bulk 152-2;Bebidas;48222.45;29241.53;297;5;2;0;UNIT;Sí;;
NEW-1788552194240-152-3;7708958329;Bulk 152-3;Lacteos;43419.54;4119.42;65;5;2;0;UNIT;Sí;;
NEW-1788552194240-152-4;7708959011;Bulk 152-4;Lacteos;42652.95;29293.16;385;5;2;0;UNIT;Sí;;
NEW-1788552194240-152-5;7704193435;Bulk 152-5;Bebidas;35229.39;6205.43;45;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194242-153-0;7707124232;Bulk 153-0;Snacks;24458.39;1962.37;231;5;2;0;UNIT;Sí;;
NEW-1788552194242-153-1;7707638207;Bulk 153-1;Nueva Cat;3446.04;1895.68;510;5;2;0;UNIT;Sí;;
NEW-1788552194244-154-0;7703770027;Bulk 154-0;Bebidas;13450.65;17382.76;384;5;2;0;UNIT;Sí;;
NEW-1788552194244-154-1;7703868507;Bulk 154-1;Bebidas;48046.45;17060.18;238;5;2;0;UNIT;Sí;;
NEW-1788552194244-154-2;7704472087;Bulk 154-2;Bebidas;38405.16;26389.82;57;5;2;0;UNIT;Sí;;
NEW-1788552194244-154-5;7705066818;Bulk 154-5;Snacks;27050.81;17667.31;202;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194244-154-7;7706580948;Bulk 154-7;Snacks;18443.13;24694.46;66;5;2;0;UNIT;Sí;;
NEW-1788552194247-155-1;;Bulk 155-1;Snacks;49877.65;7900.69;134;5;2;0;UNIT;Sí;;
NEW-1788552194247-155-2;;Bulk 155-2;Nueva Cat;13440.98;18071.9;461;5;2;0;UNIT;Sí;;
NEW-1788552194249-156-1;7701451378;Bulk 156-1;Nueva Cat;5788.54;4003.06;162;5;2;0;UNIT;Sí;;
NEW-1788552194249-156-2;7701201587;Bulk 156-2;Lacteos;18854;5198.55;271;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194249-156-9;7706661913;Bulk 156-9;Snacks;45955.19;18563.66;456;5;2;0;UNIT;Sí;;
NEW-1788552194252-157-2;;Bulk 157-2;Lacteos;3040.15;24464.47;69;5;2;0;UNIT;Sí;;
NEW-1788552194252-157-3;7702775425;Bulk 157-3;Bebidas;22086.92;24951.29;173;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194252-157-5;;Bulk 157-5;Lacteos;14177.2;10201.82;60;5;2;0;UNIT;Sí;;
NEW-1788552194255-158-1;;Bulk 158-1;Lacteos;16616;17789.04;207;5;2;0;UNIT;Sí;;
NEW-1788552194255-158-3;;Bulk 158-3;Nueva Cat;6846.41;6227.36;429;5;2;0;UNIT;Sí;;
NEW-1788552194255-158-6;7708974175;Bulk 158-6;Snacks;4040.84;15025.7;349;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194255-158-7;7701530193;Bulk 158-7;Nueva Cat;19163.25;27824.68;48;5;2;0;UNIT;Sí;;
NEW-1788552194255-158-8;7705504510;Bulk 158-8;Lacteos;46154.45;5261.8;49;5;2;0;UNIT;Sí;;
NEW-1788552194259-159-0;;Bulk 159-0;Lacteos;45178.21;23085.04;555;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194259-159-3;7704463407;Bulk 159-3;Bebidas;35382.01;15314.74;123;5;2;0;UNIT;Sí;;
NEW-1788552194259-159-5;7704555897;Bulk 159-5;Lacteos;26877.81;11570.84;137;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-0;7708479425;Bulk 16-0;Bebidas;25485.81;19299.53;45;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552193883-16-1;7703629192;Bulk 16-1;Lacteos;18442.37;15306.51;340;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-3;;Bulk 16-3;Snacks;8115.35;1541.63;286;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-4;7702454884;Bulk 16-4;Lacteos;38526.75;16249.95;192;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-6;7708177110;Bulk 16-6;Nueva Cat;22211.98;23422.66;51;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-7;;Bulk 16-7;Lacteos;2917.25;2414.05;338;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-8;7706404407;Bulk 16-8;Lacteos;40979.93;26302.66;329;5;2;0;UNIT;Sí;;
NEW-1788552193883-16-9;7707376438;Bulk 16-9;Nueva Cat;4435.02;8600.34;85;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-0;7704370330;Bulk 160-0;Bebidas;28688.62;16569.63;249;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-2;;Bulk 160-2;Lacteos;8658.44;1542.75;574;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-3;7703450349;Bulk 160-3;Lacteos;27826.03;15284.14;129;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-4;7709466101;Bulk 160-4;Bebidas;19856.29;26028.05;82;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-5;;Bulk 160-5;Lacteos;5896.73;24228.54;62;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-7;;Bulk 160-7;Lacteos;38981.87;29257.02;110;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-8;;Bulk 160-8;Nueva Cat;18868.77;26464.42;294;5;2;0;UNIT;Sí;;
NEW-1788552194261-160-9;7704746044;Bulk 160-9;Snacks;33962.01;18038.27;464;5;2;0;UNIT;Sí;;
NEW-1788552194265-161-0;7707599447;Bulk 161-0;Snacks;48083.42;1882.09;270;5;2;0;UNIT;Sí;;
NEW-1788552194265-161-1;7707353500;Bulk 161-1;Snacks;42117.32;29820.07;360;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194265-161-3;;Bulk 161-3;Lacteos;13586.88;18270.6;481;5;2;0;UNIT;Sí;;
NEW-1788552194265-161-4;;Bulk 161-4;Bebidas;34583.46;19592.3;64;5;2;0;UNIT;Sí;;
NEW-1788552194265-161-6;7709213044;Bulk 161-6;Snacks;24017.75;22366.33;117;5;2;0;UNIT;Sí;;
NEW-1788552194265-161-7;7706782280;Bulk 161-7;Snacks;39874.55;5461.08;131;5;2;0;UNIT;Sí;;
NEW-1788552194268-162-0;7705004059;Bulk 162-0;Lacteos;12018.41;22048.39;537;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194268-162-1;;Bulk 162-1;Snacks;25629.88;4851.15;489;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194268-162-3;7707213729;Bulk 162-3;Bebidas;31656.98;376.12;65;5;2;0;UNIT;Sí;;
NEW-1788552194268-162-5;;Bulk 162-5;Bebidas;46345.22;10799.46;197;5;2;0;UNIT;Sí;;
NEW-1788552194268-162-8;;Bulk 162-8;Snacks;34842.07;17352.88;364;5;2;0;UNIT;Sí;;
NEW-1788552194274-163-0;7703439067;Bulk 163-0;Bebidas;47878.56;22155.08;256;5;2;0;UNIT;Sí;;
NEW-1788552194276-164-3;7705971052;Bulk 164-3;Nueva Cat;30388.94;17418.98;79;5;2;0;UNIT;Sí;;
NEW-1788552194276-164-5;7704914150;Bulk 164-5;Nueva Cat;1875.72;621.88;456;5;2;0;UNIT;Sí;;
NEW-1788552194276-164-6;;Bulk 164-6;Nueva Cat;7962.18;14168.24;174;5;2;0;UNIT;Sí;;
NEW-1788552194279-166-1;7708881116;Bulk 166-1;Nueva Cat;18842.9;6690.07;159;5;2;0;UNIT;Sí;;
NEW-1788552194279-166-4;;Bulk 166-4;Lacteos;34854.72;5764.08;317;5;2;0;UNIT;Sí;;
NEW-1788552194279-166-7;7704106410;Bulk 166-7;Snacks;19245.93;3750.94;196;5;2;0;UNIT;Sí;;
NEW-1788552194283-167-0;7706910754;Bulk 167-0;Snacks;34075.8;5177.65;188;5;2;0;UNIT;Sí;;
NEW-1788552194283-167-2;;Bulk 167-2;Snacks;38956.08;26493.31;129;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194283-167-3;7708111459;Bulk 167-3;Snacks;22766.27;11830.94;415;5;2;0;UNIT;Sí;;
NEW-1788552194285-168-0;7701198115;Bulk 168-0;Snacks;12093.4;19084.05;93;5;2;0;UNIT;Sí;;
NEW-1788552194290-169-0;7707083097;Bulk 169-0;Lacteos;7980.7;284.46;142;5;2;0;UNIT;Sí;;
NEW-1788552194290-169-2;;Bulk 169-2;Nueva Cat;24871.09;22500.07;317;5;2;0;UNIT;Sí;;
NEW-1788552194290-169-3;7706404641;Bulk 169-3;Bebidas;14523.4;9789.39;450;5;2;0;UNIT;Sí;;
NEW-1788552193888-17-0;;Bulk 17-0;Snacks;9874.3;16909.59;294;5;2;0;UNIT;Sí;;
NEW-1788552194292-170-0;7708477685;Bulk 170-0;Bebidas;16874.44;29006.59;48;5;2;0;UNIT;Sí;;
NEW-1788552194292-170-1;;Bulk 170-1;Lacteos;29010.54;14727.69;122;5;2;0;UNIT;Sí;;
NEW-1788552194292-170-4;7706517053;Bulk 170-4;Bebidas;41383.64;11143.78;179;5;2;0;UNIT;Sí;;
NEW-1788552194295-171-1;7703841484;Bulk 171-1;Lacteos;32132.04;926.99;45;5;2;0;UNIT;Sí;;
NEW-1788552194295-171-3;;Bulk 171-3;Nueva Cat;24865.78;4319.32;250;5;2;0;UNIT;Sí;;
NEW-1788552194297-172-1;7704128819;Bulk 172-1;Snacks;16898.45;13256.28;273;5;2;0;UNIT;Sí;;
NEW-1788552194297-172-3;7702492708;Bulk 172-3;Lacteos;1512.34;23323.28;50;5;2;0;UNIT;Sí;;
NEW-1788552194301-174-1;7708962329;Bulk 174-1;Lacteos;44858.22;10879.57;85;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194301-174-2;;Bulk 174-2;Snacks;7832.82;18979.55;225;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194304-175-6;7705380719;Bulk 175-6;Bebidas;32643.03;22049.88;268;5;2;0;UNIT;Sí;;
NEW-1788552194304-175-7;7708130304;Bulk 175-7;Snacks;17297.64;10181.87;405;5;2;0;UNIT;Sí;;
